abstract,assignees,crawled_date,date_filed,date_issued,inventors,location,patent_number,title,type,url
"A flexible architecture for installing electronic equipment in a data center rack is provided, in the form of a virtual chassis. The virtual chassis simultaneously accepts multiple types of equipment items (e.g., computing devices, storage devices, communication devices) and/or multiple versions of a given type of equipment item, by altering the physical configuration of the chassis. As a result, cells or spaces of multiple different form-factors may be defined for receiving the equipment. Also, services such as data and power may be pre-attached to a virtual chassis so that when a computer server or other item is installed, it is automatically connected to the services without separate effort. One or more electronic equipment items, when installed in a cell of the chassis, may mate automatically with multiple data connectors and/or power connectors.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","December 20, 2018","Yuval Bachar, Jacob R. Rose, Brad A. Peterson, Eric Wendorf",https://patents.justia.com/company/linkedin,20180368277,FLEXIBLE CHASSIS FOR INSTALLING ELECTRONIC EQUIPMENT IN A RACK,Application,https://patents.justia.com/patent/20180368277
"The disclosed embodiments provide a system for processing queries of a graph database. During operation, the system executes a set of processes for processing queries of a graph database storing a graph, wherein the graph comprises a set of nodes, a set of edges between pairs of nodes in the set of nodes, and a set of predicates. When a query of the graph database is received, the system performs a lookup of a hash map to obtain one or more offsets into a compound store for the graph database, which includes identity-giving nodes for a set of tuples in the graph database. Next, the system accesses the offset(s) in the compound store to obtain a subset of tuples matching the query. The system then uses the subset of tuples to generate a result of the query and provides the result in a response to the query.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","December 13, 2018","Andrew Rodriguez, Scott M. Meyer, Andrew J. Carter, Walaa Eldin M. Moustafa",https://patents.justia.com/company/linkedin,20180357330,COMPOUND INDEXES FOR GRAPH DATABASES,Application,https://patents.justia.com/patent/20180357330
"The disclosed embodiments provide a system for processing queries of a graph database. During operation, the system executes a set of processes for processing queries of a graph database storing a graph, wherein the graph comprises a set of nodes, edges between pairs of nodes, and a set of predicates. Next, the system obtains a first query containing a first tuple and a second query containing a first subset of edges. The system transforms the first tuple into a second subset of edges and the first subset of edges into a second tuple. Finally, the system uses the second subset of edges to generate a first result of the first query and the second tuple to generate a second result of the second query, and provides the first result in a first response to the first query and the second result in a second response to the second query.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","December 13, 2018","Scott M. Meyer, Andrew J. Carter, Andrew Rodriguez, Walaa Eldin M. Moustafa",https://patents.justia.com/company/linkedin,20180357328,FUNCTIONAL EQUIVALENCE OF TUPLES AND EDGES IN GRAPH DATABASES,Application,https://patents.justia.com/patent/20180357328
"The disclosed embodiments provide a system for processing queries of a graph database. During operation, the system executes one or more processes for providing the graph database storing a graph, wherein the graph includes a set of nodes, a set of edges between pairs of nodes in the set of nodes, and a set of predicates. Next, the system obtains, from the query, an aggregation by a first attribute and a grouping by a second attribute. The system then uses the second attribute to generate a set of groupings of records in the graph database. For each grouping in the set of groupings, the system applies the aggregation to the first attribute in a subset of the records in the grouping to generate an aggregation result. Finally, the system uses the aggregation result to provide a response to the query.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","December 13, 2018","Walaa Eldin M. Moustafa, Andrew J. Carter, Andrew Rodriguez, Scott M. Meyer",https://patents.justia.com/company/linkedin,20180357278,PROCESSING AGGREGATE QUERIES IN A GRAPH DATABASE,Application,https://patents.justia.com/patent/20180357278
"The disclosed embodiments provide a system for processing queries of a graph database. During operation, the system executes a set of processes for processing queries of a graph database storing a graph, wherein the graph comprises a set of nodes, a set of edges between pairs of nodes in the set of nodes, and a set of predicates. When a query of the graph database is received, the system obtains, from the query, a compound comprising a compound type and a set of identity-giving nodes. Next, the system uses the compound to access a tuple for storage in a log-based representation of the graph database, wherein the tuple includes the compound type and the identity-giving nodes. The system then uses the tuple to generate a result of the query and provides the result in a response to the query.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","December 13, 2018","Scott M. Meyer, Andrew J. Carter, Andrew Rodriguez, Walaa Eldin M. Moustafa",https://patents.justia.com/company/linkedin,20180357329,SUPPORTING TUPLES IN LOG-BASED REPRESENTATIONS OF GRAPH DATABASES,Application,https://patents.justia.com/patent/20180357329
"The disclosed embodiments provide a system for processing and storing data. During operation, the system obtains a set of records sorted by a first integer value, with each record containing the first integer value and one or more additional integer values. The system sets, for each integer value in each record, a delta encoding bit that indicates whether the integer value is delta encoded with respect to at least one other integer value in the records. Next, the system uses a delta encoding state represented by the delta encoding bit to calculate an encoded value from the integer value. The system then encodes a length of the encoded value in a length tag for the integer value and replaces the integer value in the record with an encoded version containing the delta encoding bit, the length tag, and the encoded value.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","December 6, 2018","Andrew J. Carter, Andrew Rodriguez, Srinath Shankar, Scott M. Meyer",https://patents.justia.com/company/linkedin,20180349443,EDGE STORE COMPRESSION IN GRAPH DATABASES,Application,https://patents.justia.com/patent/20180349443
"The disclosed embodiments provide a system for managing deployment of a software product. During operation, the system obtains a current state and a set of steps in a deployment workflow for the product. Upon receiving a request to deploy the product in a next step following the current state in the deployment workflow, the system identifies a deployment window containing a start time and an end time in a deployment schedule for the product. When the deployment window is open, the system uses the deployment workflow to automatically initiate deployment of the product to an environment representing the next step.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","December 6, 2018","Timothy D. Worboys, Sergei V. Titov, John Rabedeau, James D. Langille, Menglin L. Brown, Joyce Victoria Wang, Jinzheng Sha, Sergey Leshchenko, Shane M. Watson",https://patents.justia.com/company/linkedin,20180349179,CENTRALIZED FLEXIBLE DEPLOYMENT SYSTEM,Application,https://patents.justia.com/patent/20180349179
"The disclosed embodiments provide a system for processing user actions with a service. During operation, the system uses a statistical model to obtain a first metric associated with a user action received by a service. Next, the system applies a set of static decisions to the metric and one or more attributes of the user action to determine a first response to the user action. The system then uses a set of dynamic rules to produce a first modification to the first response. Finally, the system generates output for applying the first response to the user action.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","December 6, 2018","Jie Zhang, Tzu-Han Jan, Xi Sun, Grace W. Tang, Sahil Handa, Vladimir I. Shlosberg",https://patents.justia.com/company/linkedin,20180349606,ESCALATION-COMPATIBLE PROCESSING FLOWS FOR ANTI-ABUSE INFRASTRUCTURES,Application,https://patents.justia.com/patent/20180349606
"The disclosed embodiments provide a system for processing data. During operation, the system obtains a set of features associated with a customer, wherein the set of features includes profile data from an online professional network and one or more standardized features related to a role of the customer. Next, the system applies a set of whitelists and a set of blacklists to the features to identify a market segment for the customer. The system then uses the market segment to generate output for use in targeting the customer with an educational technology product.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","October 18, 2018","Sandeep Rohilla, He Liu, Yue Li, Zhaoying Han",https://patents.justia.com/company/linkedin,20180300755,SEGMENTING CUSTOMERS OF EDUCATIONAL TECHNOLOGY PRODUCTS,Application,https://patents.justia.com/patent/20180300755
"The disclosed embodiments provide a system for processing data. During operation, the system obtains a set of features associated with a customer, wherein the set of features includes profile data from an online professional network. Next, the system uses a statistical model and the features to predict a likelihood of acquiring the customer for an educational technology product. The system then uses the likelihood to generate output for use in targeting the customer with the educational technology product.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","October 18, 2018","Sandeep Rohilla, Zhaoying Han, Aayush S. Mahendru",https://patents.justia.com/company/linkedin,20180300764,MODELING CUSTOMER ACQUISITION PROPENSITIES FOR EDUCATIONAL TECHNOLOGY PRODUCTS,Application,https://patents.justia.com/patent/20180300764
"A system, apparatus, and methods are provided for automatically managing a collection of service instances. A selected or random instance of the service isredline-tested to determine a maximum level of sustained and stable performance (e.g., a maximum or approximate maximum load or throughput of the service instance). This redline value may represent a highest service request rate (e.g., in queries per second or qps) that should be delivered to some or all instances of the service. An expected range of demand for the service is then estimated for a future time period, possibly from analysis and/or observations of past demand, and a maximum and minimum number of instances for handling that range of demand, at an acceptable level of performance, can be determined. During the time period, additional instances may be created and superfluous instances may be removed automatically, based on actual demand.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","October 11, 2018","Jason R. Johnson, Steven C. Ihde, Jingshu Xia",https://patents.justia.com/company/linkedin,20180295044,AUTOMATED MANAGEMENT OF SERVICE INSTANCES,Application,https://patents.justia.com/patent/20180295044
"The disclosed embodiments provide a system that performs domain name resolution. During operation, the system uses one or more attributes of a Domain Name System (DNS) query to identify a membership of the DNS query in a grouping of related DNS queries. Next, the system obtains a set of DNS records for resolving the related DNS queries. The system then expedites resolution of subsequent DNS queries in the grouping by transmitting the set of DNS records in a response to the DNS query.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","October 11, 2018","Russell I. White, Shafagh Zandi",https://patents.justia.com/company/linkedin,20180295094,REDUCING LATENCY DURING DOMAIN NAME RESOLUTION IN NETWORKS,Application,https://patents.justia.com/patent/20180295094
"The disclosed embodiments provide a system for performing online hyperparameter tuning in distributed machine learning. During operation, the system uses input data for a first set of versions of a statistical model for a set of entities to calculate a batch of performance metrics for the first set of versions. Next, the system applies an optimization technique to the batch to produce updates to a set of hyperparameters for the statistical model. The system then uses the updates to modulate the execution of a second set of versions of the statistical model for the set of entities. When a new entity is added to the set of entities, the system updates the set of hyperparameters with a new dimension for the new entity.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","October 4, 2018","Ian B. Wood, Xu Miao, Chang-Ming Tsai, Joel D. Young",https://patents.justia.com/company/linkedin,20180285759,ONLINE HYPERPARAMETER TUNING IN DISTRIBUTED MACHINE LEARNING,Application,https://patents.justia.com/patent/20180285759
"The disclosed embodiments provide a system that processes data. During operation, the system obtains a set of features for a customer of an educational technology product. Next, the system uses an account type of the customer to select a statistical model from a set of statistical models for evaluating potential customer spending with the educational technology product. The system then uses the statistical model and the features to predict a potential spending of the customer with the educational technology product. Finally, the system outputs the potential spending for use in managing sales activity with the customer.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","October 4, 2018","Zhaoying Han, Yiying Cheng, Juan Wang, Wenjing Zhang",https://patents.justia.com/company/linkedin,20180285908,EVALUATING POTENTIAL SPENDING FOR CUSTOMERS OF EDUCATIONAL TECHNOLOGY PRODUCTS,Application,https://patents.justia.com/patent/20180285908
"The disclosed embodiments provide a system for processing data. During operation, the system obtains a set of features associated with a sales lead for an educational technology product, wherein the set of features includes profile data from an online professional network. Next, the system uses the set of features to generate a set of quality indicators for the sales lead. The system then aggregates the quality indicators into a lead score representing a quality of the sales lead. Finally, the system outputs the lead score for use in managing sales activity with the sales lead.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","October 4, 2018","Ming M. Ng, Zhaoying Han, Sandeep Rohilla, Coleman Patrick King, III, Tony Yin",https://patents.justia.com/company/linkedin,20180285906,AUTOMATICALLY PRIORITIZING SALES LEADS FOR EDUCATIONAL TECHNOLOGY PRODUCTS,Application,https://patents.justia.com/patent/20180285906
"The disclosed embodiments provide a system for performing network routing using a publish-subscribe messaging system. During operation, a node in the system detects a first change in reachability within the network. Next, the node generates a first message comprising the first change for receipt by other nodes in the network through a publish-subscribe messaging system. The node then transmits the first message to the publish-subscribe messaging system. Another node receives the first message, updates a routing database at the other node to reflect the first change, and uses the updated routing database to process network traffic.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","September 13, 2018","Shafagh Zandi, Russell I. White, Ignacio Solis",https://patents.justia.com/company/linkedin,20180262454,NETWORK ROUTING USING A PUBLISH-SUBSCRIBE MESSAGING SYSTEM,Application,https://patents.justia.com/patent/20180262454
"The disclosed embodiments provide a system for propagating network configuration policies using a publish-subscribe messaging system. During operation, the system receives, through the publish-subscribe messaging system, one or more messages containing a first representation of a configuration policy from a policy server. Next, the system uses a data model to convert the first representation into a second representation of the configuration policy. The system then uses the second representation to apply the configuration policy during processing of network traffic.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","September 13, 2018","Shafagh Zandi, Russell I. White, Zaid A. Kahn, Vikas Kumar",https://patents.justia.com/company/linkedin,20180262592,PROPAGATING NETWORK CONFIGURATION POLICIES USING A PUBLISH-SUBSCRIBE MESSAGING SYSTEM,Application,https://patents.justia.com/patent/20180262592
"The disclosed embodiments provide a system that automatically detects a role of a node in a network with a layered topology. During operation, the system uses a local shortest path tree (SPT) for a node in a network with a layered topology to identify one or more additional nodes in the network that are farthest from the node. Next, the system compares the local SPT with a remote SPT for the one or more additional nodes to identify a position of the node in the layered topology. The system then outputs the position of the node for use in configuring the operation of the node in the network.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","September 13, 2018","Russell I. White, Shafagh Zandi, Zaid A. Kahn",https://patents.justia.com/company/linkedin,20180262392,AUTOMATICALLY DETECTING ROLES OF NODES IN LAYERED NETWORK TOPOLOGIES,Application,https://patents.justia.com/patent/20180262392
"The disclosed embodiments provide a system for performing sub-second network telemetry using a publish-subscribe messaging system. During operation, the system obtains, through the publish-subscribe messaging system, a stream of messages from a set of nodes connected by a set of links in a network. Next, the system analyzes network telemetry data associated with the nodes from the stream of messages. The system then outputs a telemetry result for the network based on the analyzed network telemetry data.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","September 13, 2018","Shafagh Zandi, Russell I. White, Zaid A. Kahn, Saikrishna Mangala Kotha",https://patents.justia.com/company/linkedin,20180262585,SUB-SECOND NETWORK TELEMETRY USING A PUBLISH-SUBSCRIBE MESSAGING SYSTEM,Application,https://patents.justia.com/patent/20180262585
"The disclosed embodiments provide a system for allocating resources to an application. During operation, the system obtains a set of resource requirements for the application, wherein the resource requirements include a processor allocation and a memory allocation. Next, the system identifies a set of hosts in a set of racks with available resources that meet the resource requirements. The system then selects, for the application, a rack in the set of racks based on a priority associated with resource allocation for the application and a host in the rack based on one or more additional priorities associated with resource allocation for the application. Finally, the system allocates the resources on the host to the application.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","September 6, 2018","Allan M. Caffee, Pankit Thapar",https://patents.justia.com/company/linkedin,20180254999,MULTIDIMENSIONAL RESOURCE ALLOCATION IN DATA CENTERS,Application,https://patents.justia.com/patent/20180254999
"The disclosed embodiments provide a system for processing data. During operation, the system uses a hierarchical structure of features inputted into a statistical model to obtain a set of groups of the features. Next, the system uses the groups as input to a set of view models for estimating an output of the statistical model. The system then applies the view models to the features to generate a set of view model outputs, wherein each view model output in the set of view model outputs represents an effect of a group in the set of groups on an output of the statistical model. Finally, the system outputs the view model outputs for use in characterizing a performance of the statistical model.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","September 6, 2018",Wei Di,https://patents.justia.com/company/linkedin,20180253515,CHARACTERIZING MODEL PERFORMANCE USING HIERARCHICAL FEATURE GROUPS,Application,https://patents.justia.com/patent/20180253515
"The disclosed embodiments provide a system for performing multi-tenancy distribution of a graph database cache. During operation, the system obtains a cache of a set of records in a graph database storing a graph, wherein the graph includes a set of nodes, a set of edges between pairs of nodes in the set of nodes, and a set of predicates. Next, the system identifies one or more records in the cache that fail a validation test. The system then merges a remainder of the cache with online updates to the subset of records to produce a merged version of the cache. Finally, the system distributes the merged version to one or more instances of the graph database for use in processing queries of the graph database.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","August 23, 2018","Yongling Song, Jane Alam Jan, Brent D. Miller, Tianqiang Li",https://patents.justia.com/company/linkedin,20180239796,MULTI-TENANT DISTRIBUTION OF GRAPH DATABASE CACHES,Application,https://patents.justia.com/patent/20180239796
"The disclosed embodiments provide a system that improves learner engagement in online discussions. During operation, the system selects an experience level for use in moderating answers to a question submitted to an online forum. Next, the system matches the experience level to a first subset of users in a set of potential respondents to the question. The system then improves an engagement of the first subset of users with the online forum by generating output that targets the first subset of users with the question, prior to displaying the question to a first remainder of the potential respondents that does not include the first subset of users.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","August 2, 2018","Dhananjay R. Ragade, Nishit Tewari",https://patents.justia.com/company/linkedin,20180218625,LEARNER ENGAGEMENT IN ONLINE DISCUSSIONS,Application,https://patents.justia.com/patent/20180218625
"The disclosed embodiments provide a system for processing data. During operation, the system obtains training data containing a first set of customer support tickets and a first set of categories assigned to the first set of customer support tickets by customer support agents. Next, the system uses the training data to produce a statistical model for classifying the customer support tickets into the categories. The system then uses the statistical model to classify a second set of customer support tickets into a second set of categories. Finally, the system generates output for routing the second set of customer support tickets to the customer support agents according to the second set of categories.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","July 26, 2018","Yongzheng Zhang, Yi Zheng, Chi-Yi Kuan, Rui Zhao",https://patents.justia.com/company/linkedin,20180211260,MODEL-BASED ROUTING AND PRIORITIZATION OF CUSTOMER SUPPORT TICKETS,Application,https://patents.justia.com/patent/20180211260
"The disclosed embodiments provide a system for processing data. During operation, the system obtains a set of predicted growth rates for a first set of customers of a product. Next, the system uses a set of features comprising the predicted growth rates to generate a set of customer segments for the product, wherein each customer segment in the set of customer segments includes a similar growth rate and a similar potential spending. For each customer segment in the set of customer segments, the system uses the similar growth rate and the similar potential spending to calculate a customer lifetime value (CLV) for the customer segment. Finally, the system outputs the CLV with a second set of customers assigned to the customer segment for use in managing sales activity with the second set of customers.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","July 26, 2018","Xing Zhou, Wenrong Zeng, Juan Wang",https://patents.justia.com/company/linkedin,20180211268,MODEL-BASED SEGMENTATION OF CUSTOMERS BY LIFETIME VALUES,Application,https://patents.justia.com/patent/20180211268
"The disclosed embodiments provide a system that automatically detects a potential microloop condition associated with network convergence. During operation, the system obtains a topology for a network containing a set of nodes connected by a set of links. Next, the system uses the topology to detect a ring containing at least four hops in the network. The system then outputs an indication of a potential microloop condition associated with one or more nodes on the ring to improve improve routing of network traffic by the one or more nodes.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","July 26, 2018","Russell I. White, Shafagh Zandi, Zaid A. Kahn",https://patents.justia.com/company/linkedin,20180212860,AUTOMATICALLY DETECTING POTENTIAL MICROLOOP CONDITIONS ASSOCIATED WITH NETWORK CONVERGENCE,Application,https://patents.justia.com/patent/20180212860
"The disclosed embodiments provide a system that performs load-based compression of a forwarding table for a node in a network. During operation, the system obtains link utilizations for a set of physical links connected to the node. Next, the system uses the link utilizations to update a set of entries in a forwarding table of the node for use in balancing load across the set of physical links. The system then uses the set of entries to process network traffic at the node.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","July 26, 2018","Russell I. White, Shafagh Zandi, Zaid A. Kahn",https://patents.justia.com/company/linkedin,20180212881,LOAD-BASED COMPRESSION OF FORWARDING TABLES IN NETWORK DEVICES,Application,https://patents.justia.com/patent/20180212881
"The disclosed embodiments provide a system for processing data. During operation, the system provides a schema for including, by a set of components in a multi-tier architecture, a tracking identifier for an entity instance in the multi-tier architecture. Next, the system identifies, from a set of tracking events received from the multi-tier architecture, a subset of the tracking events containing the tracking identifier. The system then groups the subset of the tracking events into an entity lifecycle for the entity instance. Finally, the system outputs the entity lifecycle for use in assessing a performance of the multi-tier architecture by a consumer of tracking data.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","June 14, 2018",William G. Vaughan,https://patents.justia.com/company/linkedin,20180165349,GENERATING AND ASSOCIATING TRACKING EVENTS ACROSS ENTITY LIFECYCLES,Application,https://patents.justia.com/patent/20180165349
"The disclosed embodiments provide a system for processing data. During operation, the system obtains a set of derived data sets for use by a set of clients. For each derived data set in the set of derived data sets, the system produces a default version of the derived data set from multiple versions of the derived data set. The system then outputs the default version and the multiple versions for retrieval by the set of clients through an online data store, an offline data store, and a nearline data store.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","May 31, 2018","Dan Shacham, Bryan S. Hsueh, Sertan Alkan, Amit Yadav, Ashish Gupta, Bee-Chung Chen",https://patents.justia.com/company/linkedin,20180150543,UNIFIED MULTIVERSIONED PROCESSING OF DERIVED DATA,Application,https://patents.justia.com/patent/20180150543
"The disclosed embodiments provide a system for processing queries of a graph database. During operation, the system executes one or more processes for processing queries of a graph database storing a graph, wherein the graph comprises a set of nodes, a set of edges between pairs of nodes in the set of nodes, and a set of predicates. When a query of the graph database is received, the system processes the query by matching a query time of the query to a virtual time in a log-based representation of the graph database. Next, the system uses an edge store for the graph database to access a subset of the edges matching the query. The system then generates a result of the query by materializing updates to the subset of the edges before the virtual time and provides the result in a response to the query.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","May 24, 2018","Andrew J. Carter, Andrew Rodriguez, Srinath Shankar, Scott M. Meyer",https://patents.justia.com/company/linkedin,20180144060,PROCESSING DELETED EDGES IN GRAPH DATABASES,Application,https://patents.justia.com/patent/20180144060
